CountryCode,Year,MilkPrice (Per 100 KG â‚¬),DairyCowPopulation,BovinePopulation,BovineMeatWeight(Tonnes)
IE,2010,28.15,1006900,5917700,559000
IE,2011,33.55,1035640,5925320,546760
IE,2012,30.83,1060260,6253240,495400
IE,2013,37.76,1082460,6309050,517570
IE,2014,36.42,1127720,6243050,581810
IE,2015,28.64,1239890,6422230,564140
IE,2016,27.25,1295230,6613430,588360
IE,2017,36.31,1343300,6673590,617020
IE,2018,33.87,1369100,6593490,622540
IE,2019,32.53,1425760,6559650,619800
IE,2020,33.03,1456050,6529440,633380
IE,2021,38.31,1505270,6649310,594510
